name,display_name,data_type,chart_type
"Taiwan, Current account, USD bn","Taiwan, Current account, USD bn",None,line
"Taiwan, Current account, Goods and services, USD bn","Taiwan, Current account, Goods and services, USD bn",None,line
"Taiwan, Current account, Goods and services, Credit, USD bn","Taiwan, Current account, Goods and services, Credit, USD bn",None,line
"Taiwan, Current account, Goods and services, Debit, USD bn","Taiwan, Current account, Goods and services, Debit, USD bn",None,line
"Taiwan, Current account, Goods, Balance, USD bn","Taiwan, Current account, Goods, Balance, USD bn",None,line
"Taiwan, Current account, Goods, Exports, USD bn","Taiwan, Current account, Goods, Exports, USD bn",None,line
"Taiwan, Current account, Goods, General merchandise, Exports, USD bn","Taiwan, Current account, Goods, General merchandise, Exports, USD bn",None,line
"Taiwan, Current account, Goods, Net exports of goods under merchanting, Balance, USD bn","Taiwan, Current account, Goods, Net exports of goods under merchanting, Balance, USD bn",None,line
"Taiwan, Current account, Goods, Nonmonetary gold, Exports, USD bn","Taiwan, Current account, Goods, Nonmonetary gold, Exports, USD bn",None,line
"Taiwan, Current account, Goods, Imports, USD bn","Taiwan, Current account, Goods, Imports, USD bn",None,line
"Taiwan, Current account, Goods, General merchandise, Imports, USD bn","Taiwan, Current account, Goods, General merchandise, Imports, USD bn",None,line
"Taiwan, Current account, Goods, Nonmonetary gold, Imports, USD bn","Taiwan, Current account, Goods, Nonmonetary gold, Imports, USD bn",None,line
"Taiwan, Current account, Services, Balance, USD bn","Taiwan, Current account, Services, Balance, USD bn",None,line
"Taiwan, Current account, Services, Credit, USD bn","Taiwan, Current account, Services, Credit, USD bn",None,line
"Taiwan, Current account, Services, Debit, USD bn","Taiwan, Current account, Services, Debit, USD bn",None,line
"Taiwan, Current account, Services, Manufacturing services, Credit, USD bn","Taiwan, Current account, Services, Manufacturing services, Credit, USD bn",None,line
"Taiwan, Current account, Services, Manufacturing services, Debit, USD bn","Taiwan, Current account, Services, Manufacturing services, Debit, USD bn",None,line
"Taiwan, Current account, Services, Maintenance and repair services, Credit, USD bn","Taiwan, Current account, Services, Maintenance and repair services, Credit, USD bn",None,line
"Taiwan, Current account, Services, Maintenance and repair services, Debit, USD bn","Taiwan, Current account, Services, Maintenance and repair services, Debit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Credit, USD bn","Taiwan, Current account, Services, Transport, Credit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Passenger, Credit, USD bn","Taiwan, Current account, Services, Transport, Passenger, Credit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Freight, Credit, USD bn","Taiwan, Current account, Services, Transport, Freight, Credit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Other, Credit, USD bn","Taiwan, Current account, Services, Transport, Other, Credit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Debit, USD bn","Taiwan, Current account, Services, Transport, Debit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Passenger, Debit, USD bn","Taiwan, Current account, Services, Transport, Passenger, Debit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Freight, Debit, USD bn","Taiwan, Current account, Services, Transport, Freight, Debit, USD bn",None,line
"Taiwan, Current account, Services, Transport, Other, Debit, USD bn","Taiwan, Current account, Services, Transport, Other, Debit, USD bn",None,line
"Taiwan, Current account, Services, Travel, Credit, USD bn","Taiwan, Current account, Services, Travel, Credit, USD bn",None,line
"Taiwan, Current account, Services, Travel, Business, Credit, USD bn","Taiwan, Current account, Services, Travel, Business, Credit, USD bn",None,line
"Taiwan, Current account, Services, Travel, Personal, Credit, USD bn","Taiwan, Current account, Services, Travel, Personal, Credit, USD bn",None,line
"Taiwan, Current account, Services, Travel, Debit, USD bn","Taiwan, Current account, Services, Travel, Debit, USD bn",None,line
"Taiwan, Current account, Services, Travel, Business, Debit, USD bn","Taiwan, Current account, Services, Travel, Business, Debit, USD bn",None,line
