name,display_name,data_type,chart_type
"Taiwan, CPI, All items","Taiwan, CPI, All items",None,line
"Taiwan, CPI, Food","Taiwan, CPI, Food",None,line
"Taiwan, CPI, Cereals & Cereal Products","Taiwan, CPI, Cereals & Cereal Products",None,line
"Taiwan, CPI, Meats","Taiwan, CPI, Meats",None,line
"Taiwan, CPI, Meat Products","Taiwan, CPI, Meat Products",None,line
"Taiwan, CPI, Eggs","Taiwan, CPI, Eggs",None,line
"Taiwan, CPI, Fish & Seafood","Taiwan, CPI, Fish & Seafood",None,line
"Taiwan, CPI, Processed Fish & Seafood Products","Taiwan, CPI, Processed Fish & Seafood Products",None,line
"Taiwan, CPI, Vegetables","Taiwan, CPI, Vegetables",None,line
"Taiwan, CPI, Processed Vegetables","Taiwan, CPI, Processed Vegetables",None,line
"Taiwan, CPI, Fruits","Taiwan, CPI, Fruits",None,line
"Taiwan, CPI, Processed Fruits","Taiwan, CPI, Processed Fruits",None,line
"Taiwan, CPI, Dairy Products","Taiwan, CPI, Dairy Products",None,line
"Taiwan, CPI, Edible Oil","Taiwan, CPI, Edible Oil",None,line
"Taiwan, CPI, Condiments","Taiwan, CPI, Condiments",None,line
"Taiwan, CPI, Alcoholic Beverages","Taiwan, CPI, Alcoholic Beverages",None,line
"Taiwan, CPI, Non-alcoholic Beverages & Beverage Materials","Taiwan, CPI, Non-alcoholic Beverages & Beverage Materials",None,line
"Taiwan, CPI, Cooked Food","Taiwan, CPI, Cooked Food",None,line
"Taiwan, CPI, Food Away from Home","Taiwan, CPI, Food Away from Home",None,line
"Taiwan, CPI, Other Food","Taiwan, CPI, Other Food",None,line
"Taiwan, CPI, Clothing","Taiwan, CPI, Clothing",None,line
"Taiwan, CPI, Garments","Taiwan, CPI, Garments",None,line
"Taiwan, CPI, (Men's Garments","Taiwan, CPI, (Men's Garments",None,line
"Taiwan, CPI,  (Women's Garments","Taiwan, CPI,  (Women's Garments",None,line
"Taiwan, CPI,  (Children's Garments","Taiwan, CPI,  (Children's Garments",None,line
"Taiwan, CPI, Footwear","Taiwan, CPI, Footwear",None,line
"Taiwan, CPI, Apparel Services & Accessories","Taiwan, CPI, Apparel Services & Accessories",None,line
"Taiwan, CPI, Housing","Taiwan, CPI, Housing",None,line
"Taiwan, CPI, Residential Rent","Taiwan, CPI, Residential Rent",None,line
"Taiwan, CPI, Maintenance & Repair of Dwellings","Taiwan, CPI, Maintenance & Repair of Dwellings",None,line
"Taiwan, CPI, Household Appliances","Taiwan, CPI, Household Appliances",None,line
"Taiwan, CPI, Household Operations","Taiwan, CPI, Household Operations",None,line
"Taiwan, CPI, Water , Electricity & Gas Supply","Taiwan, CPI, Water , Electricity & Gas Supply",None,line
"Taiwan, CPI, Transportation & Communication","Taiwan, CPI, Transportation & Communication",None,line
"Taiwan, CPI, Equipment For Transportation & Communication","Taiwan, CPI, Equipment For Transportation & Communication",None,line
"Taiwan, CPI, Fuels & Lubricants","Taiwan, CPI, Fuels & Lubricants",None,line
"Taiwan, CPI, Services and Vehicle Parts For Transportation & Communication","Taiwan, CPI, Services and Vehicle Parts For Transportation & Communication",None,line
"Taiwan, CPI, Health","Taiwan, CPI, Health",None,line
"Taiwan, CPI, Medical Care Services","Taiwan, CPI, Medical Care Services",None,line
"Taiwan, CPI, Medicines & Health Food","Taiwan, CPI, Medicines & Health Food",None,line
"Taiwan, CPI, Medical Supplies & Appliance","Taiwan, CPI, Medical Supplies & Appliance",None,line
"Taiwan, CPI, Education & Entertainment","Taiwan, CPI, Education & Entertainment",None,line
"Taiwan, CPI, Educational Expenses","Taiwan, CPI, Educational Expenses",None,line
"Taiwan, CPI, Entertainment Expenses","Taiwan, CPI, Entertainment Expenses",None,line
"Taiwan, CPI, Miscellaneous","Taiwan, CPI, Miscellaneous",None,line
"Taiwan, CPI, Tobacco & Betel nuts","Taiwan, CPI, Tobacco & Betel nuts",None,line
"Taiwan, CPI, Cosmetic Items","Taiwan, CPI, Cosmetic Items",None,line
"Taiwan, CPI, Personal Effects","Taiwan, CPI, Personal Effects",None,line
"Taiwan, CPI, Services For Nursery & Nursing Care","Taiwan, CPI, Services For Nursery & Nursing Care",None,line
"Taiwan, CPI, Services For Personal Care","Taiwan, CPI, Services For Personal Care",None,line
"Taiwan, CPI, Other Miscellaneous Expenses","Taiwan, CPI, Other Miscellaneous Expenses",None,line
"Taiwan, CPI, Goods","Taiwan, CPI, Goods",None,line
"Taiwan, CPI, Goods, Excluding food","Taiwan, CPI, Goods, Excluding food",None,line
"Taiwan, CPI, Core goods","Taiwan, CPI, Core goods",None,line
"Taiwan, CPI, Non-core commodities (i.e. fruits, Vegetables and energy)","Taiwan, CPI, Non-core commodities (i.e. fruits, Vegetables and energy)",None,line
"Taiwan, CPI, Goods, Non-durable","Taiwan, CPI, Goods, Non-durable",None,line
"Taiwan, CPI, Goods, Non-durable excluding food","Taiwan, CPI, Goods, Non-durable excluding food",None,line
"Taiwan, CPI, Goods, Semi-durable","Taiwan, CPI, Goods, Semi-durable",None,line
"Taiwan, CPI, Goods, Durable","Taiwan, CPI, Goods, Durable",None,line
"Taiwan, CPI, Services","Taiwan, CPI, Services",None,line
"Taiwan, CPI, Services, Excluding food away from home","Taiwan, CPI, Services, Excluding food away from home",None,line
"Taiwan, CPI, Services, Food away from home","Taiwan, CPI, Services, Food away from home",None,line
"Taiwan, CPI, Services, Apparel","Taiwan, CPI, Services, Apparel",None,line
"Taiwan, CPI, Services, Housing","Taiwan, CPI, Services, Housing",None,line
"Taiwan, CPI, Services, Transportation & communication","Taiwan, CPI, Services, Transportation & communication",None,line
"Taiwan, CPI, Services, Medical care","Taiwan, CPI, Services, Medical care",None,line
"Taiwan, CPI, Services, Education & entertainment","Taiwan, CPI, Services, Education & entertainment",None,line
"Taiwan, CPI, Services, Education","Taiwan, CPI, Services, Education",None,line
"Taiwan, CPI, Services, Entertainment","Taiwan, CPI, Services, Entertainment",None,line
"Taiwan, CPI, Services, Miscellaneous","Taiwan, CPI, Services, Miscellaneous",None,line
"Taiwan, CPI, All items excluding food","Taiwan, CPI, All items excluding food",None,line
"Taiwan, CPI, All items excluding fruits and vegetables","Taiwan, CPI, All items excluding fruits and vegetables",None,line
"Taiwan, CPI, All items excluding fruits and vegetables and energy","Taiwan, CPI, All items excluding fruits and vegetables and energy",None,line
